particleNum,Area,Mean,StdDev,Mode,Min,Max,XM,YM,Circ.,IntDen,Median,Skew,Kurt,%Area,RawIntDen,AR,Round,Solidity,colocalized
176,0.015,255,0,255,255,255,78.63,74.207,0.643,3.81,255,NaN,NaN,100,765,2.702,0.37,0.667,no
177,0.02,255,0,255,255,255,30.47,74.348,0.698,5.08,255,NaN,NaN,100,1020,2.654,0.377,0.667,no
178,0.015,255,0,255,255,255,78.771,74.325,1,3.81,255,NaN,NaN,100,765,1.464,0.683,0.857,no
179,0.015,255,0,255,255,255,54.4,74.607,1,3.81,255,NaN,NaN,100,765,1.464,0.683,0.857,no
180,0.015,255,0,255,255,255,78.865,74.583,0.754,3.81,255,NaN,NaN,100,765,2.702,0.37,0.667,no
181,0.015,255,0,255,255,255,51.836,74.677,0.754,3.81,255,NaN,NaN,100,765,2.702,0.37,0.667,no
182,0.025,255,0,255,255,255,30.819,74.757,0.674,6.35,255,NaN,NaN,100,1275,2.749,0.364,0.769,no
183,0.025,255,0,255,255,255,54.616,74.828,0.354,6.35,255,NaN,NaN,100,1275,1.343,0.745,0.526,no
184,0.025,255,0,255,255,255,30.579,75.209,0.572,6.35,255,NaN,NaN,100,1275,1.064,0.94,0.667,no
185,0.025,255,0,255,255,255,78.949,75.308,0.572,6.35,255,NaN,NaN,100,1275,2.165,0.462,0.588,no
186,0.02,255,0,255,255,255,21.489,75.354,0.698,5.08,255,NaN,NaN,100,1020,2.654,0.377,0.667,no
187,0.02,255,0,255,255,255,21.525,75.548,0.513,5.08,255,NaN,NaN,100,1020,3.873,0.258,0.571,no
188,0.015,255,0,255,255,255,21.678,75.76,0.643,3.81,255,NaN,NaN,100,765,2.702,0.37,0.667,no
189,0.015,255,0,255,255,255,21.489,75.83,0.809,3.81,255,NaN,NaN,100,765,3,0.333,1,no
190,0.015,255,0,255,255,255,68.067,76.042,0.524,3.81,255,NaN,NaN,100,765,4.123,0.243,0.6,no
191,0.02,255,0,255,255,255,52.824,76.271,0.698,5.08,255,NaN,NaN,100,1020,2.654,0.377,0.667,no
192,0.02,255,0,255,255,255,21.383,76.324,0.393,5.08,255,NaN,NaN,100,1020,2.179,0.459,0.5,no
193,0.025,255,0,255,255,255,21.532,76.578,0.572,6.35,255,NaN,NaN,100,1275,2.511,0.398,0.625,no
194,0.025,255,0,255,255,255,80.403,76.804,0.641,6.35,255,NaN,NaN,100,1275,1.064,0.94,0.667,no
195,0.03,255,0,255,255,255,21.725,76.959,0.686,7.62,255,NaN,NaN,100,1530,1.295,0.772,0.75,no
196,0.015,255,0,255,255,255,21.607,77.83,1,3.81,255,NaN,NaN,100,765,1.464,0.683,0.857,no
197,0.025,255,0,255,255,255,80.121,77.947,0.641,6.35,255,NaN,NaN,100,1275,1.848,0.541,0.667,no
198,0.015,255,0,255,255,255,79.947,78.065,1,3.81,255,NaN,NaN,100,765,1.464,0.683,0.857,no
199,0.02,255,0,255,255,255,72.319,78.388,0.857,5.08,255,NaN,NaN,100,1020,2,0.5,0.8,no
200,0.015,255,0,255,255,255,79.288,78.371,0.967,3.81,255,NaN,NaN,100,765,3,0.333,1,no
201,0.015,255,0,255,255,255,78.888,78.465,1,3.81,255,NaN,NaN,100,765,1.464,0.683,0.857,no
202,0.025,255,0,255,255,255,79.345,78.597,0.873,6.35,255,NaN,NaN,100,1275,2.308,0.433,0.769,no
